fecha,subcolonia,nidoPS,darvic,sexo,longitudCraneo,longitudPico,longitudNarina,anchoCraneo,altoPico,anchoPico,tarso,longAlaCerrada,longAlaAbierta,mediaEnvergadura,envergadura,peso
2016,Punta Sur,28,A68,H,171.12,104.59,79.45,51.14,30.61,24.04,90.22,50.5,94.4,102.2,204.4,2.14
2016,Punta Sur,39,0J4,H,174.18,106.85,80.19,52.43,30.2,23.26,88.74,51,95.7,104.2,208.4,2.38
2016,Punta Sur,83,8B2,H,170.96,108.82,79.71,52.97,30.11,23.94,88.15,50.4,92.2,99.5,199,2.46
2016,Punta Sur,198,J46,H,172.11,104.93,79.41,51.63,31.76,25.88,90.41,52.1,99.1,106,212,2.13
2016,Punta Sur,198,J47,H,176.3,107.3,82.35,50.3,30.97,24.68,86.69,49.1,91.5,100.7,201.4,2.48
2016,Punta Sur,196,J32,H,181.14,108.14,81.19,51.47,31.6,25.48,90.97,51.1,94,105.5,211,2.16
2016,Punta Sur,162,J49,H,178.28,111.57,83.63,50.68,32.48,24.63,92.26,49.5,95,102.6,205.2,2.5
2016,Punta Sur,153,7E1,H,174.7,110.77,83.7,50.36,32.23,27.72,89.86,51.4,97.5,102.5,205,2.47
2016,Punta Sur,154,H67,H,181.87,107.69,82.84,50.88,34.03,26.16,91.37,52.4,98.5,105.5,211,2.05
2016,Punta Sur,44,E93,H,170.6,100.81,75.23,48.69,28.85,23.36,89.06,50.1,94.4,102,204,2.15
2016,Punta Sur,46,H42,H,171.53,103.52,77.7,51.92,29.87,25.48,87.95,51.3,96.7,107,214,2.42
2016,Punta Sur,77,H70,H,174.93,106.7,80.6,49.91,29.79,24.35,88.38,51,97,102.2,204.4,2.56
2016,Punta Sur,42,H02,H,169.14,108.63,82.06,50.57,29.67,24.53,86.17,49.7,94.3,101.3,202.6,2.67
2016,Punta Sur,NA,A67,H,177.01,109.77,81.9,50.79,32.31,27.15,92.67,51.2,92.5,102.3,204.6,2.22
2016,Punta Sur,NA,9B9,H,174.35,106.7,80.08,50.52,32.48,24.63,88.85,49.9,94.8,105.2,210.4,2.44
2016,Punta Sur,NA,J08,H,172.16,105.25,77.75,51.56,31.1,25.32,90.4,48.9,94,100.4,200.8,2.22
2016,Morro Prieto,126,H84,H,173.63,111.33,80.64,49.26,30.89,23.17,91.48,52,96.05,102.8,205.6,2.2
2016,Morro Prieto,95,E14,H,168.36,106.64,77.69,46.5,32.15,22.86,88.36,50.5,91.7,99.3,198.6,2.21
2016,Morro Prieto,203,H19,H,172.5,110.03,80.84,49.08,33.65,24.82,89.16,51.2,93.7,100.3,200.6,2.23
2016,Morro Prieto,NA,E21,H,177,111.42,81.57,50.95,33.4,24.85,90.01,51.6,98.8,101.7,203.4,3.05
2016,Morro Prieto,NA,B68,H,173.16,107.77,80.04,52.09,32.37,23.97,90.83,49.7,95.1,101.7,203.4,2.09
2016,Morro Prieto,65,B40,H,175.29,108.88,79.06,51.35,33.44,24.78,93.95,54.7,97.6,106.76,213.52,2.92
2016,Zapato,NA,M57,H,172.21,107.22,78.46,48.72,31.16,24.37,91.3,54.6,97.4,106.4,212.8,2.07
2016,Zapato,117,J76,H,172.66,108.41,79.09,53.01,32.51,24.3,99.23,50.6,94.9,101.3,202.6,2.16
2016,Zapato,190,A87,H,165.58,105.86,74.82,52.85,31.39,21.48,88.39,51.9,90.9,100,200,2.21
2016,Zapato,215,B06,H,173.32,109.9,79.53,51.72,31.94,21.57,90.24,51.6,93.2,101.1,202.2,2.33
2016,Zapato,NA,K48,H,171.15,107.17,78.32,50.29,31.7,23.7,90.78,51.3,94,99.9,199.8,2.26
2016,Punta Sur,109,E04,M,179.85,112.78,85.66,57.33,34.74,26.14,91.06,51.4,98,108.2,216.4,2.63
2016,Punta Sur,85,C91,M,178.79,110.24,82.21,54.53,33.02,25.75,92.41,52.8,100.2,107.6,215.2,2.65
2016,Punta Sur,29,9B7,M,182.95,113.9,85.65,56.12,33.05,26.38,92.21,52.1,99.8,108.4,216.8,2.53
2016,Punta Sur,7,0J2,M,177.34,113.92,85.15,55.29,33.46,25.81,91.12,50.3,95.6,105.6,211.2,2.6
2016,Punta Sur,21,E62,M,188.04,119.48,89.46,56.36,33.11,26.69,95.46,50.6,98.2,107.7,215.4,2.94
2016,Punta Sur,13,A62,M,181.01,109.98,82.95,55.47,32.84,25.84,90.78,51.4,96,105.4,210.8,2.55
2016,Punta Sur,47,4A3,M,188.66,116.32,85.55,55.52,32.79,25.69,93.33,52,98.3,107.5,215,2.77
2016,Punta Sur,69,J41,M,171.42,108.41,79.96,50.24,34.51,25.4,88.35,51.3,94.2,104.5,209,2.44
2016,Punta Sur,76,8C3,M,177.43,111.7,83.86,54.53,32.1,25.8,88.83,51.2,94.3,104.1,208.2,2.49
2016,Punta Sur,43,7C7,M,182.25,113.17,84.13,52.26,32.08,26.07,91.74,52.6,98.9,107.6,215.2,2.83
2016,Punta Sur,125,H73,M,180.18,113.54,85.32,52.02,33.23,25.75,93.94,51,96.3,104.4,208.8,2.44
2016,Punta Sur,95,J45,M,179.23,108.2,81.22,54.41,32.69,24.41,94.15,52.2,96.2,104.5,209,2.37
2016,Punta Sur,196,J48,M,183.95,112.09,85.43,55.8,34.4,26.48,93.23,50.9,96.4,107.5,215,2.77
2016,Punta Sur,164,H58,M,182.72,113.42,84.81,52.45,34.28,26.35,94.22,51.2,99.9,105,210,2.34
2016,Punta Sur,86,1H6,M,177.84,110.61,82.84,53.7,35.5,26.51,89.17,50.3,95,103.5,207,2.51
2016,Punta Sur,194,9B6,M,191.21,118.53,88.93,55.26,32.61,25.56,92.43,52.3,98.2,107.2,214.4,2.94
2016,Punta Sur,NA,7E9,M,181.96,117.44,87.36,53.9,34.28,28.2,92.55,49.7,93.7,105.1,210.2,2.42
2016,Punta Sur,88,1E3,M,186.02,114.94,85.64,52.6,34.81,28.01,94.15,54.1,101,109.6,219.2,2.71
2016,Punta Sur,55,0J5,M,187.64,114.76,85.34,51.6,32.83,27.43,95.4,51.4,98.2,106.8,213.6,2.68
2016,Punta Sur,NA,H23,M,186.43,116.53,87.37,52.84,33.62,26,91.25,52.1,95.1,105.3,210.6,3.07
2016,Punta Sur,NA,E11,M,193.22,116.85,88.14,53.48,33.69,27.12,95.5,53.2,99.8,109.2,218.4,2.47
2016,Punta Sur,5,C51,M,175.94,111.59,83.82,56.35,32.91,24.95,91.45,51.1,97.5,105.7,211.4,2.81
2016,Morro Prieto,84,J15,M,186.26,114.57,86.01,53.69,33.67,23.93,94.37,53.9,98.2,106.6,213.2,2.82
2016,Morro Prieto,NA,E61,M,183.72,118.15,86.3,51.42,33.76,23.17,92.32,52.4,95.5,105.1,210.2,NA
2016,Zapato,NA,Sin Darvic,M,182.3,115.9,83.34,51.81,33.19,23.84,92.86,52.2,97.6,112.2,224.4,2.65
2016,Zapato,241,B21,M,177.12,115.4,83.31,56.5,33.47,25.5,91.61,52.3,94,104.8,209.6,3.05
2016,Zapato,NA,K23,M,178.34,114.72,85.51,52.78,34.71,23.32,94.6,52.5,96.5,104,208,2.55
2016,Zapato,355,E79,M,177.96,116.56,85.6,51.37,35.44,25.1,92.3,53,99.6,103.5,207,2.95
2016,Zapato,5,4A5 (P.S.),M,179.56,109.46,83.79,55.5,33.5,25.53,92.9,50.6,94.6,104.9,209.8,2.23
2016,Zapato,143,K89,M,178.77,113.45,82.41,54.01,34.85,24.96,90.85,50.1,95.7,105.6,211.2,3.45
2015,Punta Sur,1,4C2,H,171.2,108.33,82.78,53.02,33.46,24.42,85.8,51.2,94,103.1,206.2,2.5
2015,Punta Sur,3,1J3,H,168.06,104.55,78.86,54.5,29.34,23.89,84.41,50.5,94.5,99.77,199.54,2.2
2015,Punta Sur,6,C66,H,173.09,107.18,83.28,56.72,33.15,25.8,88.31,49.3,97,105.5,211,2.85
2015,Punta Sur,15,3A2,H,168.18,101.78,77.58,54.27,31.81,24.44,83.18,49.4,93.5,100.6,201.2,2.1
2015,Punta Sur,24,B43,H,167.75,104.95,90.68,51.65,30.81,25.36,87.92,51.3,97.1,104.9,209.8,2.25
2015,Punta Sur,25,E54,H,177.31,108.85,83.56,52.89,33.02,28.47,88.52,51.1,88.9,106.1,212.2,2.55
2015,Punta Sur,28,H77,H,175.32,105.55,81.53,54.34,31.55,25.6,89.42,53.3,97.1,105.1,210.2,2.35
2015,Punta Sur,29,3C0,H,173.95,106.88,81.77,50.27,32.54,25.65,88.64,52.4,96,105.9,211.8,2.65
2015,Punta Sur,42,C36,H,177.52,112.59,86.34,54.91,33.25,26.92,90.18,52.7,97,104.9,209.8,2.45
2015,Punta Sur,44,H42,H,171.35,102.71,78.19,49.47,30.05,24.95,88.31,52.4,96.5,103.1,206.2,2.4
2015,Punta Sur,49,E55,H,174.69,106.83,82.14,49.09,30.6,26.47,91.42,52.7,96.6,105.2,210.4,2.5
2015,Punta Sur,50,2C3,H,178.83,107.6,81.57,52.25,31.85,24.66,87.49,51.5,95.9,104.4,208.8,2.8
2015,Punta Sur,51,E22,H,168.41,103.03,77.99,50.76,32.07,24.69,88.66,51.4,96.2,104.3,208.6,2.6
2015,Punta Sur,55,E57,H,179.76,111.25,85.22,50.13,32.67,26.5,92.81,51.3,97.2,106.8,213.6,2.75
2015,Punta Sur,56,4E8,H,176.83,109.63,84.43,51.37,34.01,26.02,85.38,51.1,93.6,100.8,201.6,2.7
2015,Punta Sur,58,B17,H,170.57,105.17,80.35,51.74,31.4,24.67,88.17,50.5,93.5,103.6,207.2,2.3
2015,Punta Sur,62,C43,H,171.75,109.09,83.63,51.97,33.03,26.07,91.18,51.7,95.8,103.5,207,2.55
2015,Punta Sur,63,0C4,H,174.77,106.23,80.12,49.62,32.57,26.22,89.75,52.7,96.2,105.2,210.4,2.3
2015,Punta Sur,72,C41,H,181.28,111.47,84.67,54.86,35.47,28.47,92.31,54.1,99.4,107.9,215.8,2.55
2015,Punta Sur,84,9J0,H,178.88,110.15,86.25,53.91,34.4,26.24,84.04,52.3,95.5,105.2,210.4,2.45
2015,Punta Sur,87,E50,H,178.15,110.11,84.3,58.36,32.61,25.82,92.79,51.5,99.1,108.8,217.6,2.9
2015,Punta Sur,4,A56,M,185.22,116.47,88.57,56.5,32.99,26.7,93.74,53.2,97.1,108.7,217.4,2.95
2015,Punta Sur,29,4E3,M,183.02,114.64,88.23,57.04,33.63,28.56,92.48,52.8,98.2,106.1,212.2,2.75
2015,Punta Sur,42,H24,M,181.51,112.57,85.58,54.11,32.6,26.02,93.11,53,98,107.4,214.8,3.1
2015,Punta Sur,45,9A3,M,186.27,114.58,87.31,53.98,33.02,27.34,89.85,51,93.7,103.8,207.6,2.55
2015,Punta Sur,51,C89,M,183.56,115.5,87.28,55.09,33.09,26.22,92.6,51.6,97,107.3,214.6,3.25
2015,Punta Sur,56,9B6,M,189.43,117.22,90.33,54.31,34.33,27.21,93.4,53,95.7,103.8,207.6,2.65
2015,Punta Sur,84,8J9,M,178.87,112.16,85.41,54.37,33.76,26.95,92.34,53.2,96.5,104.2,208.4,2.85
2015,Punta Sur,135,H72,M,182.11,111.77,84.76,53.19,32.89,25.66,92.12,52.9,97.3,106.2,212.4,2.7
2015,Punta Sur,NA,5H7,M,182.39,111.2,85.87,54.69,34.13,27.14,93.84,51.2,95.1,106,212,2.85
